,title_id,link,title,category,num_episode,last_date
156,738928,https://comic.naver.com/bestChallenge/list.nhn?titleId=738928,이탈자,action,11,2020-03-04
157,734615,https://comic.naver.com/bestChallenge/list.nhn?titleId=734615,킬러5,action,26,2020-03-04
158,735963,https://comic.naver.com/bestChallenge/list.nhn?titleId=735963,크리비 (Crea.B),action,13,2020-03-03
159,734786,https://comic.naver.com/bestChallenge/list.nhn?titleId=734786,모던 던전 판타지아,action,13,2020-03-03
160,724807,https://comic.naver.com/bestChallenge/list.nhn?titleId=724807,사인검,action,22,2020-02-28
161,728763,https://comic.naver.com/bestChallenge/list.nhn?titleId=728763,시간의 뒷면,action,23,2020-02-26
162,720761,https://comic.naver.com/bestChallenge/list.nhn?titleId=720761,미용사 : LOST HERO,action,29,2020-02-25
163,726202,https://comic.naver.com/bestChallenge/list.nhn?titleId=726202,견우화,action,33,2020-02-24
164,730626,https://comic.naver.com/bestChallenge/list.nhn?titleId=730626,로그 아일,action,19,2020-02-24
165,562687,https://comic.naver.com/bestChallenge/list.nhn?titleId=562687,소울,action,87,2020-02-23
166,737939,https://comic.naver.com/bestChallenge/list.nhn?titleId=737939,제트,action,8,2020-02-23
167,721288,https://comic.naver.com/bestChallenge/list.nhn?titleId=721288,몬스터 커맨더F,action,21,2020-02-21
168,728672,https://comic.naver.com/bestChallenge/list.nhn?titleId=728672,이브의 꿈속친구,thrill,43,2020-03-10
169,734317,https://comic.naver.com/bestChallenge/list.nhn?titleId=734317,우주수렴법칙,thrill,29,2020-03-09
170,710981,https://comic.naver.com/bestChallenge/list.nhn?titleId=710981,나를 죽이는 방법,thrill,58,2020-03-08
171,689851,https://comic.naver.com/bestChallenge/list.nhn?titleId=689851,협주곡,thrill,35,2020-03-07
172,739882,https://comic.naver.com/bestChallenge/list.nhn?titleId=739882,생존일지,thrill,8,2020-03-07
173,703821,https://comic.naver.com/bestChallenge/list.nhn?titleId=703821,브레인 스톰,thrill,61,2020-03-07
174,=77922,https://comic.naver.com/bestChallenge/list.nhn?titleId=77922,귀한 베도에 누추한 만화 - 남겨진 것들의,thrill,67,2020-03-06
175,720291,https://comic.naver.com/bestChallenge/list.nhn?titleId=720291,기행 공포단편집,thrill,51,2020-03-05
176,676318,https://comic.naver.com/bestChallenge/list.nhn?titleId=676318,30일후,thrill,59,2020-03-05
177,736660,https://comic.naver.com/bestChallenge/list.nhn?titleId=736660,러브 유어 시스터,thrill,18,2020-03-04
178,733443,https://comic.naver.com/bestChallenge/list.nhn?titleId=733443,아무도 믿지마,thrill,26,2020-03-04
179,710723,https://comic.naver.com/bestChallenge/list.nhn?titleId=710723,드리머즈,thrill,6,2020-03-02
180,647043,https://comic.naver.com/bestChallenge/list.nhn?titleId=647043,흑묘,thrill,145,2020-03-02
181,714244,https://comic.naver.com/bestChallenge/list.nhn?titleId=714244,스크류 드라이버,thrill,37,2020-03-01
182,720138,https://comic.naver.com/bestChallenge/list.nhn?titleId=720138,무감각자들,thrill,45,2020-02-29
183,718741,https://comic.naver.com/bestChallenge/list.nhn?titleId=718741,소피아가 머리카락을 쓸어넘길 때,thrill,39,2020-02-29
184,738621,https://comic.naver.com/bestChallenge/list.nhn?titleId=738621,누루쿠타 소녀,thrill,9,2020-02-28
185,723541,https://comic.naver.com/bestChallenge/list.nhn?titleId=723541,아마데우스,thrill,29,2020-02-28
186,718960,https://comic.naver.com/bestChallenge/list.nhn?titleId=718960,잊을 수 있을까,thrill,33,2020-02-26
187,728763,https://comic.naver.com/bestChallenge/list.nhn?titleId=728763,시간의 뒷면,thrill,23,2020-02-26
188,701286,https://comic.naver.com/bestChallenge/list.nhn?titleId=701286,여의도,thrill,49,2020-02-21
189,738950,https://comic.naver.com/bestChallenge/list.nhn?titleId=738950,트랜스휴먼,thrill,9,2020-02-20
190,698916,https://comic.naver.com/bestChallenge/list.nhn?titleId=698916,틈,thrill,96,2020-02-16
191,714781,https://comic.naver.com/bestChallenge/list.nhn?titleId=714781,STONE AGE,thrill,37,2020-02-10
192,739004,https://comic.naver.com/bestChallenge/list.nhn?titleId=739004,이매망향 魑魅望香,drama,9,2020-03-10
193,705818,https://comic.naver.com/bestChallenge/list.nhn?titleId=705818,나를 찾아줘,drama,35,2020-03-10
194,727118,https://comic.naver.com/bestChallenge/list.nhn?titleId=727118,분노의 난임일기,drama,32,2020-03-10
195,696529,https://comic.naver.com/bestChallenge/list.nhn?titleId=696529,DOOR,drama,77,2020-03-10
196,708203,https://comic.naver.com/bestChallenge/list.nhn?titleId=708203,제목이 7080 만화,drama,87,2020-03-10
197,727117,https://comic.naver.com/bestChallenge/list.nhn?titleId=727117,당할연,drama,42,2020-03-09
198,681323,https://comic.naver.com/bestChallenge/list.nhn?titleId=681323,더 리턴,drama,89,2020-03-09
199,727585,https://comic.naver.com/bestChallenge/list.nhn?titleId=727585,현세이의 보이는 라디오,drama,28,2020-03-09
200,736647,https://comic.naver.com/bestChallenge/list.nhn?titleId=736647,아좀비,drama,45,2020-03-10
201,681149,https://comic.naver.com/bestChallenge/list.nhn?titleId=681149,블랙메일,drama,30,2020-03-09
202,644886,https://comic.naver.com/bestChallenge/list.nhn?titleId=644886,하나밖에 안 보여!,drama,44,2020-03-08
203,710981,https://comic.naver.com/bestChallenge/list.nhn?titleId=710981,나를 죽이는 방법,drama,58,2020-03-08
204,727725,https://comic.naver.com/bestChallenge/list.nhn?titleId=727725,엑스트라 Z씨,drama,45,2020-03-08
205,709983,https://comic.naver.com/bestChallenge/list.nhn?titleId=709983,IDOL,drama,46,2020-03-08
206,739882,https://comic.naver.com/bestChallenge/list.nhn?titleId=739882,생존일지,drama,8,2020-03-07
207,696801,https://comic.naver.com/bestChallenge/list.nhn?titleId=696801,내 이름을 불러줘,drama,67,2020-03-07
208,711211,https://comic.naver.com/bestChallenge/list.nhn?titleId=711211,모솔탈출 일대기,drama,38,2020-03-07
209,702263,https://comic.naver.com/bestChallenge/list.nhn?titleId=702263,"안녕, 나의 길고양이",drama,98,2020-03-06
210,729861,https://comic.naver.com/bestChallenge/list.nhn?titleId=729861,하늘연달 연정,drama,27,2020-03-06
211,733677,https://comic.naver.com/bestChallenge/list.nhn?titleId=733677,이왕이면 아이돌,drama,19,2020-03-06
212,732446,https://comic.naver.com/bestChallenge/list.nhn?titleId=732446,더 익스트림,drama,14,2020-03-06
213,733402,https://comic.naver.com/bestChallenge/list.nhn?titleId=733402,"그날, 우리들의 여름.",drama,11,2020-03-05
214,685637,https://comic.naver.com/bestChallenge/list.nhn?titleId=685637,신과의 대화,drama,149,2020-03-05
215,737616,https://comic.naver.com/bestChallenge/list.nhn?titleId=737616,쏘 판타지,drama,17,2020-03-04
216,705818,https://comic.naver.com/bestChallenge/list.nhn?titleId=705818,나를 찾아줘,sensibility,35,2020-03-10
217,659920,https://comic.naver.com/bestChallenge/list.nhn?titleId=659920,야귀록,sensibility,30,2020-03-09
218,704479,https://comic.naver.com/bestChallenge/list.nhn?titleId=704479,어느 남고생의 하루,sensibility,22,2020-03-09
219,738692,https://comic.naver.com/bestChallenge/list.nhn?titleId=738692,뷰티풀 선샤인,sensibility,12,2020-03-09
220,=63660,https://comic.naver.com/bestChallenge/list.nhn?titleId=63660,HAVE A NICE DAY,sensibility,54,2020-03-09
221,719004,https://comic.naver.com/bestChallenge/list.nhn?titleId=719004,CAFE_쉬어가게,sensibility,38,2020-03-09
222,733799,https://comic.naver.com/bestChallenge/list.nhn?titleId=733799,돌레인더시티 : 여행이야기,sensibility,39,2020-03-09
223,695377,https://comic.naver.com/bestChallenge/list.nhn?titleId=695377,CMYK,sensibility,154,2020-03-08
224,709983,https://comic.naver.com/bestChallenge/list.nhn?titleId=709983,IDOL,sensibility,46,2020-03-08
225,689851,https://comic.naver.com/bestChallenge/list.nhn?titleId=689851,협주곡,sensibility,35,2020-03-07
226,676977,https://comic.naver.com/bestChallenge/list.nhn?titleId=676977,봉산코믹스,sensibility,344,2020-03-07
227,259033,https://comic.naver.com/bestChallenge/list.nhn?titleId=259033,우주n은하,sensibility,98,2020-03-07
228,694457,https://comic.naver.com/bestChallenge/list.nhn?titleId=694457,이딴여행,sensibility,126,2020-03-07
229,707284,https://comic.naver.com/bestChallenge/list.nhn?titleId=707284,누나 한입만화,sensibility,52,2020-03-07
230,=77922,https://comic.naver.com/bestChallenge/list.nhn?titleId=77922,귀한 베도에 누추한 만화 - 남겨진 것들의,sensibility,67,2020-03-06
231,731775,https://comic.naver.com/bestChallenge/list.nhn?titleId=731775,그래도 하루는,sensibility,18,2020-03-06
232,650919,https://comic.naver.com/bestChallenge/list.nhn?titleId=650919,웰시네 부부에세이,sensibility,119,2020-03-06
233,700068,https://comic.naver.com/bestChallenge/list.nhn?titleId=700068,급식이조아,sensibility,23,2020-03-06
234,684245,https://comic.naver.com/bestChallenge/list.nhn?titleId=684245,향기방기 연애일기,sensibility,27,2020-03-06
235,725551,https://comic.naver.com/bestChallenge/list.nhn?titleId=725551,오늘을 담다.,sensibility,44,2020-03-06
236,650221,https://comic.naver.com/bestChallenge/list.nhn?titleId=650221,긁적긁적,sensibility,304,2020-03-05
237,696233,https://comic.naver.com/bestChallenge/list.nhn?titleId=696233,시간이 머문 집,sensibility,69,2020-03-05
238,736035,https://comic.naver.com/bestChallenge/list.nhn?titleId=736035,악마의 육아일기,sensibility,22,2020-03-05
239,695213,https://comic.naver.com/bestChallenge/list.nhn?titleId=695213,이상한 낙원의 넬리쉬,sensibility,87,2020-03-05
240,737235,https://comic.naver.com/bestChallenge/list.nhn?titleId=737235,주짓수와 고양이,sports,18,2020-03-10
241,732446,https://comic.naver.com/bestChallenge/list.nhn?titleId=732446,더 익스트림,sports,14,2020-03-06
242,733402,https://comic.naver.com/bestChallenge/list.nhn?titleId=733402,"그날, 우리들의 여름.",sports,11,2020-03-05
243,735708,https://comic.naver.com/bestChallenge/list.nhn?titleId=735708,죽탱이,sports,15,2020-03-05
244,670579,https://comic.naver.com/bestChallenge/list.nhn?titleId=670579,엔드시즌,sports,17,2020-02-29
245,720220,https://comic.naver.com/bestChallenge/list.nhn?titleId=720220,수영만화일기,sports,57,2020-02-19
246,714803,https://comic.naver.com/bestChallenge/list.nhn?titleId=714803,씨름,sports,18,2020-01-19
247,713350,https://comic.naver.com/bestChallenge/list.nhn?titleId=713350,너에게나를던진다,sports,33,2020-01-16
248,701214,https://comic.naver.com/bestChallenge/list.nhn?titleId=701214,불릿 6미리,sports,36,2020-01-02
249,727791,https://comic.naver.com/bestChallenge/list.nhn?titleId=727791,오늘부터 날아!,sports,29,2019-11-08
250,703182,https://comic.naver.com/bestChallenge/list.nhn?titleId=703182,싸카소녀,sports,51,2019-10-19
251,661459,https://comic.naver.com/bestChallenge/list.nhn?titleId=661459,림딩동,sports,99,2019-08-24
252,715640,https://comic.naver.com/bestChallenge/list.nhn?titleId=715640,디 언더사이즈드(THE UNDERSIZED),sports,26,2019-08-20
253,714207,https://comic.naver.com/bestChallenge/list.nhn?titleId=714207,탑코너,sports,19,2019-08-09
254,716651,https://comic.naver.com/bestChallenge/list.nhn?titleId=716651,엑스텐,sports,43,2019-06-29
255,713920,https://comic.naver.com/bestChallenge/list.nhn?titleId=713920,몬스터즈필드,sports,14,2019-03-22
256,620395,https://comic.naver.com/bestChallenge/list.nhn?titleId=620395,여왕의자격,sports,43,2019-02-27
257,700533,https://comic.naver.com/bestChallenge/list.nhn?titleId=700533,50m,sports,23,2019-01-25
258,714302,https://comic.naver.com/bestChallenge/list.nhn?titleId=714302,브리즈,sports,8,2019-01-24
259,714316,https://comic.naver.com/bestChallenge/list.nhn?titleId=714316,샤카!,sports,16,2019-01-14
260,640837,https://comic.naver.com/bestChallenge/list.nhn?titleId=640837,스피너즈,sports,71,2019-01-05
261,713727,https://comic.naver.com/bestChallenge/list.nhn?titleId=713727,빅맨,sports,18,2018-12-28
262,620951,https://comic.naver.com/bestChallenge/list.nhn?titleId=620951,공상과학스포대전,sports,167,2018-11-26
263,555996,https://comic.naver.com/bestChallenge/list.nhn?titleId=555996,방과후 베이스볼 클럽,sports,41,2018-11-19
264,701701,https://comic.naver.com/bestChallenge/list.nhn?titleId=701701,아빠는 N살,daily,702,2020-03-10
265,729633,https://comic.naver.com/bestChallenge/list.nhn?titleId=729633,오늘도 그래고래,daily,67,2020-03-10
266,727118,https://comic.naver.com/bestChallenge/list.nhn?titleId=727118,분노의 난임일기,daily,32,2020-03-10
267,651073,https://comic.naver.com/bestChallenge/list.nhn?titleId=651073,윤덩까툰,daily,97,2020-03-10
268,729593,https://comic.naver.com/bestChallenge/list.nhn?titleId=729593,잔액이 부족합니다,daily,39,2020-03-10
269,737235,https://comic.naver.com/bestChallenge/list.nhn?titleId=737235,주짓수와 고양이,daily,18,2020-03-10
270,696751,https://comic.naver.com/bestChallenge/list.nhn?titleId=696751,하루한끼 감정일기,daily,52,2020-03-09
271,723972,https://comic.naver.com/bestChallenge/list.nhn?titleId=723972,너를 만나다,daily,37,2020-03-09
272,719639,https://comic.naver.com/bestChallenge/list.nhn?titleId=719639,중딩툰,daily,86,2020-03-09
273,734894,https://comic.naver.com/bestChallenge/list.nhn?titleId=734894,3인3색 세쌍둥이,daily,26,2020-03-09
274,729599,https://comic.naver.com/bestChallenge/list.nhn?titleId=729599,정신과심리만화 by 팔호광장,daily,79,2020-03-09
275,728729,https://comic.naver.com/bestChallenge/list.nhn?titleId=728729,무대에 서지 않지만 배우입니다,daily,84,2020-03-09
276,663704,https://comic.naver.com/bestChallenge/list.nhn?titleId=663704,코스믹 코믹스,daily,69,2020-03-09
277,735601,https://comic.naver.com/bestChallenge/list.nhn?titleId=735601,신혼좀비,daily,66,2020-03-09
278,716112,https://comic.naver.com/bestChallenge/list.nhn?titleId=716112,전지적덕후시점,daily,88,2020-03-09
279,736513,https://comic.naver.com/bestChallenge/list.nhn?titleId=736513,오늘의 초능력,daily,91,2020-03-09
280,724777,https://comic.naver.com/bestChallenge/list.nhn?titleId=724777,하나리즈,daily,54,2020-03-09
281,704479,https://comic.naver.com/bestChallenge/list.nhn?titleId=704479,어느 남고생의 하루,daily,22,2020-03-09
282,727585,https://comic.naver.com/bestChallenge/list.nhn?titleId=727585,현세이의 보이는 라디오,daily,28,2020-03-09
283,733288,https://comic.naver.com/bestChallenge/list.nhn?titleId=733288,결혼하고 싶지 않았는데 못하게 되었다.,daily,44,2020-03-09
284,726814,https://comic.naver.com/bestChallenge/list.nhn?titleId=726814,158동 진상부부,daily,89,2020-03-09
285,739635,https://comic.naver.com/bestChallenge/list.nhn?titleId=739635,수인고등학교,daily,11,2020-03-09
286,734851,https://comic.naver.com/bestChallenge/list.nhn?titleId=734851,도와줘요 사신님!,daily,27,2020-03-09
287,719004,https://comic.naver.com/bestChallenge/list.nhn?titleId=719004,CAFE_쉬어가게,daily,38,2020-03-09
288,739004,https://comic.naver.com/bestChallenge/list.nhn?titleId=739004,이매망향 魑魅望香,story,9,2020-03-10
289,736591,https://comic.naver.com/bestChallenge/list.nhn?titleId=736591,용사님이시다,story,19,2020-03-10
290,705818,https://comic.naver.com/bestChallenge/list.nhn?titleId=705818,나를 찾아줘,story,35,2020-03-10
291,727118,https://comic.naver.com/bestChallenge/list.nhn?titleId=727118,분노의 난임일기,story,32,2020-03-10
292,659485,https://comic.naver.com/bestChallenge/list.nhn?titleId=659485,저승파견고용직,story,239,2020-03-10
293,696529,https://comic.naver.com/bestChallenge/list.nhn?titleId=696529,DOOR,story,77,2020-03-10
294,728672,https://comic.naver.com/bestChallenge/list.nhn?titleId=728672,이브의 꿈속친구,story,43,2020-03-10
295,734244,https://comic.naver.com/bestChallenge/list.nhn?titleId=734244,웨일즈,story,23,2020-03-09
296,723972,https://comic.naver.com/bestChallenge/list.nhn?titleId=723972,너를 만나다,story,37,2020-03-09
297,740247,https://comic.naver.com/bestChallenge/list.nhn?titleId=740247,예쁜인력,story,7,2020-03-09
298,727117,https://comic.naver.com/bestChallenge/list.nhn?titleId=727117,당할연,story,42,2020-03-09
299,681323,https://comic.naver.com/bestChallenge/list.nhn?titleId=681323,더 리턴,story,89,2020-03-09
300,659920,https://comic.naver.com/bestChallenge/list.nhn?titleId=659920,야귀록,story,30,2020-03-09
301,704479,https://comic.naver.com/bestChallenge/list.nhn?titleId=704479,어느 남고생의 하루,story,22,2020-03-09
302,727585,https://comic.naver.com/bestChallenge/list.nhn?titleId=727585,현세이의 보이는 라디오,story,28,2020-03-09
303,733782,https://comic.naver.com/bestChallenge/list.nhn?titleId=733782,그녀의 시크릿 사운드,story,20,2020-03-09
304,739635,https://comic.naver.com/bestChallenge/list.nhn?titleId=739635,수인고등학교,story,11,2020-03-09
305,681149,https://comic.naver.com/bestChallenge/list.nhn?titleId=681149,블랙메일,story,30,2020-03-09
306,719004,https://comic.naver.com/bestChallenge/list.nhn?titleId=719004,CAFE_쉬어가게,story,38,2020-03-09
307,541226,https://comic.naver.com/bestChallenge/list.nhn?titleId=541226,숲속의 성,story,228,2020-03-09
308,735988,https://comic.naver.com/bestChallenge/list.nhn?titleId=735988,공주님은 알바중,story,8,2020-03-08
309,644886,https://comic.naver.com/bestChallenge/list.nhn?titleId=644886,하나밖에 안 보여!,story,44,2020-03-08
310,499692,https://comic.naver.com/bestChallenge/list.nhn?titleId=499692,Twins Love Story (트윈스 러브 스토리),story,52,2020-03-08
311,695484,https://comic.naver.com/bestChallenge/list.nhn?titleId=695484,심연,story,56,2020-03-08
